county,state,fips,cases,deaths,date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,CBSA_NAME,STATE,FIPS Code,COUNTY
Nassau,New York,36059.0,1,0,03/05/2020,2.7,ug/m3 LC,11,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,1,0,03/05/2020,4.3,ug/m3 LC,18,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,1,0,03/05/2020,4.0,ug/m3 LC,17,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,1,0,03/05/2020,6.3,ug/m3 LC,26,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,1,0,03/05/2020,4.9,ug/m3 LC,20,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,4,0,03/05/2020,4.2,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,4,0,03/05/2020,4.4,ug/m3 LC,18,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,4,0,03/05/2020,3.0,ug/m3 LC,13,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,4,0,03/05/2020,2.7,ug/m3 LC,11,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,4,0,03/05/2020,4.3,ug/m3 LC,18,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,4,0,03/05/2020,4.0,ug/m3 LC,17,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,4,0,03/05/2020,6.3,ug/m3 LC,26,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,4,0,03/05/2020,4.9,ug/m3 LC,20,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Westchester,New York,36119.0,17,0,03/05/2020,4.2,ug/m3 LC,18,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Westchester,New York,36119.0,17,0,03/05/2020,4.4,ug/m3 LC,18,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Westchester,New York,36119.0,17,0,03/05/2020,3.0,ug/m3 LC,13,WHITEFACE BASE,,New York,31,Essex
Westchester,New York,36119.0,17,0,03/05/2020,2.7,ug/m3 LC,11,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,17,0,03/05/2020,4.3,ug/m3 LC,18,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,17,0,03/05/2020,4.0,ug/m3 LC,17,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Westchester,New York,36119.0,17,0,03/05/2020,6.3,ug/m3 LC,26,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Westchester,New York,36119.0,17,0,03/05/2020,4.9,ug/m3 LC,20,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Nassau,New York,36059.0,4,0,03/06/2020,9.6,ug/m3 LC,40,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Nassau,New York,36059.0,4,0,03/06/2020,5.6,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Nassau,New York,36059.0,4,0,03/06/2020,3.3,ug/m3 LC,14,WHITEFACE BASE,,New York,31,Essex
Nassau,New York,36059.0,4,0,03/06/2020,5.9,ug/m3 LC,25,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,4,0,03/06/2020,6.9,ug/m3 LC,29,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,4,0,03/06/2020,4.6,ug/m3 LC,19,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,4,0,03/06/2020,6.7,ug/m3 LC,28,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,4,0,03/06/2020,8.6,ug/m3 LC,36,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,5,0,03/06/2020,9.6,ug/m3 LC,40,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,5,0,03/06/2020,5.6,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,5,0,03/06/2020,3.3,ug/m3 LC,14,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,5,0,03/06/2020,5.9,ug/m3 LC,25,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,5,0,03/06/2020,6.9,ug/m3 LC,29,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,5,0,03/06/2020,4.6,ug/m3 LC,19,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,5,0,03/06/2020,6.7,ug/m3 LC,28,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,5,0,03/06/2020,8.6,ug/m3 LC,36,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Rockland,New York,36087.0,2,0,03/06/2020,9.6,ug/m3 LC,40,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Rockland,New York,36087.0,2,0,03/06/2020,5.6,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Rockland,New York,36087.0,2,0,03/06/2020,3.3,ug/m3 LC,14,WHITEFACE BASE,,New York,31,Essex
Rockland,New York,36087.0,2,0,03/06/2020,5.9,ug/m3 LC,25,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Rockland,New York,36087.0,2,0,03/06/2020,6.9,ug/m3 LC,29,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Rockland,New York,36087.0,2,0,03/06/2020,4.6,ug/m3 LC,19,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Rockland,New York,36087.0,2,0,03/06/2020,6.7,ug/m3 LC,28,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Rockland,New York,36087.0,2,0,03/06/2020,8.6,ug/m3 LC,36,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Westchester,New York,36119.0,33,0,03/06/2020,9.6,ug/m3 LC,40,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Westchester,New York,36119.0,33,0,03/06/2020,5.6,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Westchester,New York,36119.0,33,0,03/06/2020,3.3,ug/m3 LC,14,WHITEFACE BASE,,New York,31,Essex
Westchester,New York,36119.0,33,0,03/06/2020,5.9,ug/m3 LC,25,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,33,0,03/06/2020,6.9,ug/m3 LC,29,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,33,0,03/06/2020,4.6,ug/m3 LC,19,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Westchester,New York,36119.0,33,0,03/06/2020,6.7,ug/m3 LC,28,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Westchester,New York,36119.0,33,0,03/06/2020,8.6,ug/m3 LC,36,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Nassau,New York,36059.0,4,0,03/07/2020,3.7,ug/m3 LC,15,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Nassau,New York,36059.0,4,0,03/07/2020,3.6,ug/m3 LC,15,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Nassau,New York,36059.0,4,0,03/07/2020,2.0,ug/m3 LC,8,WHITEFACE BASE,,New York,31,Essex
Nassau,New York,36059.0,4,0,03/07/2020,3.7,ug/m3 LC,15,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,4,0,03/07/2020,3.3,ug/m3 LC,14,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,4,0,03/07/2020,0.8,ug/m3 LC,3,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,4,0,03/07/2020,5.1,ug/m3 LC,21,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,4,0,03/07/2020,3.3,ug/m3 LC,14,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,12,0,03/07/2020,3.7,ug/m3 LC,15,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,12,0,03/07/2020,3.6,ug/m3 LC,15,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,12,0,03/07/2020,2.0,ug/m3 LC,8,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,12,0,03/07/2020,3.7,ug/m3 LC,15,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,12,0,03/07/2020,3.3,ug/m3 LC,14,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,12,0,03/07/2020,0.8,ug/m3 LC,3,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,12,0,03/07/2020,5.1,ug/m3 LC,21,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,12,0,03/07/2020,3.3,ug/m3 LC,14,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Rockland,New York,36087.0,2,0,03/07/2020,3.7,ug/m3 LC,15,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Rockland,New York,36087.0,2,0,03/07/2020,3.6,ug/m3 LC,15,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Rockland,New York,36087.0,2,0,03/07/2020,2.0,ug/m3 LC,8,WHITEFACE BASE,,New York,31,Essex
Rockland,New York,36087.0,2,0,03/07/2020,3.7,ug/m3 LC,15,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Rockland,New York,36087.0,2,0,03/07/2020,3.3,ug/m3 LC,14,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Rockland,New York,36087.0,2,0,03/07/2020,0.8,ug/m3 LC,3,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Rockland,New York,36087.0,2,0,03/07/2020,5.1,ug/m3 LC,21,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Rockland,New York,36087.0,2,0,03/07/2020,3.3,ug/m3 LC,14,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Saratoga,New York,36091.0,2,0,03/07/2020,3.7,ug/m3 LC,15,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Saratoga,New York,36091.0,2,0,03/07/2020,3.6,ug/m3 LC,15,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Saratoga,New York,36091.0,2,0,03/07/2020,2.0,ug/m3 LC,8,WHITEFACE BASE,,New York,31,Essex
Saratoga,New York,36091.0,2,0,03/07/2020,3.7,ug/m3 LC,15,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Saratoga,New York,36091.0,2,0,03/07/2020,3.3,ug/m3 LC,14,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Saratoga,New York,36091.0,2,0,03/07/2020,0.8,ug/m3 LC,3,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Saratoga,New York,36091.0,2,0,03/07/2020,5.1,ug/m3 LC,21,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Saratoga,New York,36091.0,2,0,03/07/2020,3.3,ug/m3 LC,14,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Westchester,New York,36119.0,69,0,03/07/2020,3.7,ug/m3 LC,15,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Westchester,New York,36119.0,69,0,03/07/2020,3.6,ug/m3 LC,15,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Westchester,New York,36119.0,69,0,03/07/2020,2.0,ug/m3 LC,8,WHITEFACE BASE,,New York,31,Essex
Westchester,New York,36119.0,69,0,03/07/2020,3.7,ug/m3 LC,15,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,69,0,03/07/2020,3.3,ug/m3 LC,14,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Westchester,New York,36119.0,69,0,03/07/2020,0.8,ug/m3 LC,3,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Westchester,New York,36119.0,69,0,03/07/2020,5.1,ug/m3 LC,21,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Westchester,New York,36119.0,69,0,03/07/2020,3.3,ug/m3 LC,14,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Nassau,New York,36059.0,5,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Nassau,New York,36059.0,5,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Nassau,New York,36059.0,5,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
Nassau,New York,36059.0,5,0,03/08/2020,5.4,ug/m3 LC,23,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,5,0,03/08/2020,5.9,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Nassau,New York,36059.0,5,0,03/08/2020,3.4,ug/m3 LC,14,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,5,0,03/08/2020,5.6,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Nassau,New York,36059.0,5,0,03/08/2020,5.0,ug/m3 LC,21,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
New York City,New York,,14,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
New York City,New York,,14,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
New York City,New York,,14,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
New York City,New York,,14,0,03/08/2020,5.4,ug/m3 LC,23,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
New York City,New York,,14,0,03/08/2020,5.9,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
New York City,New York,,14,0,03/08/2020,3.4,ug/m3 LC,14,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,14,0,03/08/2020,5.6,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
New York City,New York,,14,0,03/08/2020,5.0,ug/m3 LC,21,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Rockland,New York,36087.0,2,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Rockland,New York,36087.0,2,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Rockland,New York,36087.0,2,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
Rockland,New York,36087.0,2,0,03/08/2020,5.4,ug/m3 LC,23,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Rockland,New York,36087.0,2,0,03/08/2020,5.9,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Rockland,New York,36087.0,2,0,03/08/2020,3.4,ug/m3 LC,14,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Rockland,New York,36087.0,2,0,03/08/2020,5.6,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Rockland,New York,36087.0,2,0,03/08/2020,5.0,ug/m3 LC,21,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Saratoga,New York,36091.0,2,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Saratoga,New York,36091.0,2,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Saratoga,New York,36091.0,2,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
Saratoga,New York,36091.0,2,0,03/08/2020,5.4,ug/m3 LC,23,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Saratoga,New York,36091.0,2,0,03/08/2020,5.9,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Saratoga,New York,36091.0,2,0,03/08/2020,3.4,ug/m3 LC,14,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Saratoga,New York,36091.0,2,0,03/08/2020,5.6,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Saratoga,New York,36091.0,2,0,03/08/2020,5.0,ug/m3 LC,21,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Suffolk,New York,36103.0,1,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Suffolk,New York,36103.0,1,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Suffolk,New York,36103.0,1,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
Suffolk,New York,36103.0,1,0,03/08/2020,5.4,ug/m3 LC,23,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Suffolk,New York,36103.0,1,0,03/08/2020,5.9,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Suffolk,New York,36103.0,1,0,03/08/2020,3.4,ug/m3 LC,14,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Suffolk,New York,36103.0,1,0,03/08/2020,5.6,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Suffolk,New York,36103.0,1,0,03/08/2020,5.0,ug/m3 LC,21,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Ulster,New York,36111.0,1,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Ulster,New York,36111.0,1,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Ulster,New York,36111.0,1,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
Ulster,New York,36111.0,1,0,03/08/2020,5.4,ug/m3 LC,23,Rochester Near-Road,"Rochester, NY",New York,55,Monroe
Ulster,New York,36111.0,1,0,03/08/2020,5.9,ug/m3 LC,25,ROCHESTER 2,"Rochester, NY",New York,55,Monroe
Ulster,New York,36111.0,1,0,03/08/2020,3.4,ug/m3 LC,14,QUEENS COLLEGE 2,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Ulster,New York,36111.0,1,0,03/08/2020,5.6,ug/m3 LC,23,Queens College Near Road,"New York-Newark-Jersey City, NY-NJ-PA",New York,81,Queens
Ulster,New York,36111.0,1,0,03/08/2020,5.0,ug/m3 LC,21,PINNACLE STATE PARK,"Corning, NY",New York,101,Steuben
Westchester,New York,36119.0,81,0,03/08/2020,7.0,ug/m3 LC,29,ALBANY COUNTY HEALTH DEPT,"Albany-Schenectady-Troy, NY",New York,1,Albany
Westchester,New York,36119.0,81,0,03/08/2020,5.4,ug/m3 LC,23,Buffalo Near-Road,"Buffalo-Cheektowaga-Niagara Falls, NY",New York,29,Erie
Westchester,New York,36119.0,81,0,03/08/2020,2.8,ug/m3 LC,12,WHITEFACE BASE,,New York,31,Essex
