Date,COUNTY,Average DAILY_AQI_VALUE
01/12/2020,Rockland,29.0
01/12/2020,Steuben,7.0
01/12/2020,Suffolk,32.0
01/12/2020,Westchester,32.0
01/13/2020,Albany,31.0
01/13/2020,Bronx,43.0
01/13/2020,Erie,34.666666666666664
01/13/2020,Essex,13.0
01/13/2020,Kings,44.5
01/13/2020,Monroe,36.0
01/13/2020,Nassau,33.0
01/13/2020,New York,48.666666666666664
01/13/2020,Oneida,33.0
01/13/2020,Onondaga,36.0
01/13/2020,Orange,35.0
01/13/2020,Queens,32.0
01/13/2020,Richmond,49.5
01/13/2020,Rockland,36.0
01/13/2020,Steuben,25.0
01/13/2020,Suffolk,33.0
01/13/2020,Westchester,36.0
01/14/2020,Albany,53.0
01/14/2020,Bronx,51.0
01/14/2020,Erie,36.666666666666664
01/14/2020,Essex,32.0
01/14/2020,Kings,44.0
01/14/2020,Monroe,45.5
01/14/2020,Nassau,35.0
01/14/2020,New York,51.333333333333336
01/14/2020,Oneida,32.0
01/14/2020,Onondaga,43.0
01/14/2020,Orange,38.0
01/14/2020,Queens,41.333333333333336
01/14/2020,Richmond,48.0
01/14/2020,Rockland,35.0
01/14/2020,Steuben,45.0
01/14/2020,Suffolk,35.0
01/14/2020,Westchester,34.0
01/15/2020,Albany,45.0
01/15/2020,Bronx,51.0
01/15/2020,Erie,34.333333333333336
01/15/2020,Essex,10.0
01/15/2020,Kings,47.5
01/15/2020,Monroe,31.5
01/15/2020,Nassau,52.0
01/15/2020,New York,50.333333333333336
01/15/2020,Oneida,31.0
01/15/2020,Onondaga,35.0
01/15/2020,Orange,47.0
01/15/2020,Queens,51.666666666666664
01/15/2020,Richmond,46.0
01/15/2020,Rockland,40.0
01/15/2020,Steuben,41.0
01/15/2020,Suffolk,55.0
01/15/2020,Westchester,42.0
01/16/2020,Albany,26.0
01/16/2020,Bronx,36.0
01/16/2020,Erie,38.0
01/16/2020,Essex,10.0
01/16/2020,Kings,34.0
01/16/2020,Monroe,29.0
01/16/2020,Nassau,37.0
01/16/2020,New York,39.0
01/16/2020,Oneida,27.0
01/16/2020,Onondaga,25.0
01/16/2020,Orange,32.0
01/16/2020,Queens,33.333333333333336
01/16/2020,Richmond,32.5
01/16/2020,Rockland,34.0
01/16/2020,Steuben,20.0
01/16/2020,Suffolk,31.0
01/16/2020,Westchester,34.0
01/17/2020,Albany,17.0
01/17/2020,Bronx,24.333333333333332
01/17/2020,Erie,30.5
01/17/2020,Essex,12.0
01/17/2020,Kings,31.0
01/17/2020,Monroe,29.0
01/17/2020,Nassau,33.0
01/17/2020,New York,33.5
01/17/2020,Oneida,29.0
01/17/2020,Onondaga,18.0
01/17/2020,Orange,29.0
01/17/2020,Queens,26.0
01/17/2020,Richmond,28.0
01/17/2020,Rockland,30.0
01/17/2020,Steuben,20.0
01/17/2020,Suffolk,29.0
01/17/2020,Westchester,29.0
01/18/2020,Albany,24.0
01/18/2020,Bronx,26.0
01/18/2020,Erie,18.0
01/18/2020,Essex,2.0
01/18/2020,Kings,20.5
01/18/2020,Monroe,23.0
01/18/2020,Nassau,19.0
01/18/2020,New York,25.5
01/18/2020,Oneida,20.0
01/18/2020,Onondaga,26.0
01/18/2020,Orange,22.0
01/18/2020,Queens,19.333333333333332
01/18/2020,Richmond,20.5
01/18/2020,Rockland,24.0
01/18/2020,Steuben,26.0
01/18/2020,Suffolk,18.0
01/18/2020,Westchester,22.0
01/19/2020,Albany,33.0
01/19/2020,Bronx,32.333333333333336
01/19/2020,Erie,34.5
01/19/2020,Essex,19.0
01/19/2020,Kings,32.0
01/19/2020,Monroe,26.5
01/19/2020,Nassau,33.0
01/19/2020,New York,35.666666666666664
01/19/2020,Oneida,35.0
01/19/2020,Onondaga,22.0
01/19/2020,Orange,36.0
01/19/2020,Queens,28.333333333333332
01/19/2020,Richmond,31.5
01/19/2020,Rockland,30.0
01/19/2020,Steuben,16.0
01/19/2020,Suffolk,32.0
01/19/2020,Westchester,30.0
01/20/2020,Albany,15.0
01/20/2020,Bronx,23.0
01/20/2020,Erie,27.5
01/20/2020,Essex,9.0
01/20/2020,Kings,29.5
01/20/2020,Monroe,21.5
01/20/2020,Nassau,30.0
01/20/2020,New York,29.0
01/20/2020,Oneida,25.0
01/20/2020,Onondaga,13.0
01/20/2020,Orange,28.0
01/20/2020,Queens,25.0
01/20/2020,Richmond,26.0
01/20/2020,Rockland,26.0
01/20/2020,Steuben,13.0
01/20/2020,Suffolk,28.0
01/20/2020,Westchester,28.0
01/21/2020,Albany,46.0
01/21/2020,Bronx,26.666666666666668
01/21/2020,Erie,25.5
01/21/2020,Essex,9.0
01/21/2020,Kings,33.0
01/21/2020,Monroe,37.0
01/21/2020,Nassau,30.0
01/21/2020,New York,31.666666666666668
01/21/2020,Oneida,42.0
01/21/2020,Onondaga,28.0
01/21/2020,Orange,45.0
01/21/2020,Queens,30.333333333333332
01/21/2020,Richmond,29.0
01/21/2020,Rockland,27.0
01/21/2020,Steuben,21.0
01/21/2020,Suffolk,28.0
01/21/2020,Westchester,29.0
01/22/2020,Albany,57.0
01/22/2020,Bronx,46.333333333333336
01/22/2020,Erie,42.333333333333336
01/22/2020,Essex,13.0
01/22/2020,Kings,45.0
01/22/2020,Monroe,55.0
01/22/2020,Nassau,56.0
01/22/2020,New York,39.333333333333336
01/22/2020,Oneida,36.0
01/22/2020,Onondaga,43.0
01/22/2020,Orange,55.0
01/22/2020,Queens,47.666666666666664
01/22/2020,Richmond,44.0
01/22/2020,Rockland,33.0
01/22/2020,Steuben,28.0
01/22/2020,Suffolk,50.0
01/22/2020,Westchester,37.0
01/23/2020,Albany,73.0
01/23/2020,Bronx,64.0
01/23/2020,Erie,52.333333333333336
01/23/2020,Essex,9.0
01/23/2020,Kings,57.0
01/23/2020,Monroe,57.0
01/23/2020,Nassau,66.0
01/23/2020,New York,64.33333333333333
01/23/2020,Oneida,56.0
01/23/2020,Orange,59.0
01/23/2020,Queens,61.0
01/23/2020,Richmond,57.5
01/23/2020,Rockland,54.0
01/23/2020,Steuben,41.0
01/23/2020,Suffolk,57.0
01/23/2020,Westchester,54.0
01/24/2020,Albany,101.0
01/24/2020,Bronx,67.0
01/24/2020,Erie,42.666666666666664
01/24/2020,Essex,15.0
01/24/2020,Kings,64.0
01/24/2020,Monroe,59.5
01/24/2020,Nassau,58.0
01/24/2020,New York,62.0
01/24/2020,Oneida,55.0
01/24/2020,Onondaga,62.0
01/24/2020,Orange,74.0
01/24/2020,Queens,61.666666666666664
01/24/2020,Richmond,60.0
01/24/2020,Rockland,49.0
01/24/2020,Steuben,51.0
01/24/2020,Suffolk,53.0
01/24/2020,Westchester,55.0
01/25/2020,Albany,67.0
01/25/2020,Bronx,26.0
01/25/2020,Erie,23.666666666666668
01/25/2020,Essex,8.0
01/25/2020,Kings,20.0
01/25/2020,Monroe,32.5
01/25/2020,Nassau,18.0
01/25/2020,New York,24.0
01/25/2020,Oneida,28.0
01/25/2020,Onondaga,53.0
01/25/2020,Orange,25.0
01/25/2020,Queens,21.0
01/25/2020,Richmond,20.5
01/25/2020,Rockland,21.0
01/25/2020,Steuben,23.0
01/25/2020,Westchester,19.0
01/26/2020,Albany,24.0
01/26/2020,Bronx,26.333333333333332
01/26/2020,Erie,24.333333333333332
01/26/2020,Essex,5.0
01/26/2020,Kings,26.0
01/26/2020,Monroe,23.5
01/26/2020,Nassau,26.0
01/26/2020,New York,26.333333333333332
01/26/2020,Oneida,19.0
01/26/2020,Onondaga,24.0
01/26/2020,Orange,20.0
01/26/2020,Queens,23.333333333333332
01/26/2020,Richmond,23.5
01/26/2020,Rockland,20.0
01/26/2020,Steuben,13.0
01/26/2020,Suffolk,23.0
01/26/2020,Westchester,23.0
01/27/2020,Albany,20.0
01/27/2020,Bronx,30.666666666666668
01/27/2020,Erie,28.333333333333332
01/27/2020,Essex,7.0
01/27/2020,Kings,27.5
01/27/2020,Monroe,22.0
01/27/2020,Nassau,30.0
01/27/2020,New York,31.666666666666668
01/27/2020,Oneida,19.0
01/27/2020,Orange,25.0
01/27/2020,Queens,27.666666666666668
01/27/2020,Richmond,26.5
01/27/2020,Rockland,23.0
01/27/2020,Steuben,10.0
01/27/2020,Suffolk,27.0
01/27/2020,Westchester,25.0
01/28/2020,Albany,10.0
01/28/2020,Bronx,17.666666666666668
01/28/2020,Erie,27.0
01/28/2020,Essex,8.0
01/28/2020,Kings,22.0
01/28/2020,Monroe,19.0
01/28/2020,Nassau,22.0
01/28/2020,New York,25.0
01/28/2020,Oneida,18.0
01/28/2020,Orange,20.0
01/28/2020,Queens,19.666666666666668
01/28/2020,Richmond,19.5
01/28/2020,Rockland,19.0
01/28/2020,Steuben,12.0
01/28/2020,Suffolk,18.0
01/28/2020,Westchester,20.0
01/29/2020,Albany,13.0
01/29/2020,Bronx,22.0
01/29/2020,Erie,30.333333333333332
01/29/2020,Essex,10.0
01/29/2020,Kings,25.5
01/29/2020,Monroe,23.0
01/29/2020,Nassau,22.0
01/29/2020,New York,25.666666666666668
01/29/2020,Oneida,24.0
01/29/2020,Orange,23.0
01/29/2020,Queens,20.666666666666668
01/29/2020,Richmond,23.0
01/29/2020,Rockland,21.0
01/29/2020,Steuben,16.0
01/29/2020,Suffolk,22.0
01/29/2020,Westchester,22.0
01/30/2020,Albany,37.0
01/30/2020,Bronx,31.666666666666668
01/30/2020,Erie,38.0
01/30/2020,Essex,5.0
01/30/2020,Kings,33.5
01/30/2020,Monroe,39.5
01/30/2020,Nassau,32.0
01/30/2020,New York,35.333333333333336
01/30/2020,Oneida,34.0
01/30/2020,Orange,33.0
01/30/2020,Queens,29.333333333333332
01/30/2020,Richmond,33.5
01/30/2020,Rockland,29.0
01/30/2020,Steuben,24.0
01/30/2020,Suffolk,33.0
01/30/2020,Westchester,28.0
01/31/2020,Albany,59.0
01/31/2020,Bronx,39.666666666666664
01/31/2020,Erie,47.666666666666664
01/31/2020,Essex,6.0
01/31/2020,Kings,35.0
01/31/2020,Monroe,46.5
01/31/2020,Nassau,27.0
01/31/2020,New York,45.666666666666664
01/31/2020,Oneida,43.0
01/31/2020,Onondaga,62.0
01/31/2020,Orange,53.0
01/31/2020,Queens,30.333333333333332
01/31/2020,Richmond,40.0
01/31/2020,Rockland,39.0
01/31/2020,Steuben,54.0
01/31/2020,Suffolk,26.0
01/31/2020,Westchester,30.0
02/01/2020,Erie,41.0
02/01/2020,Essex,33.0
02/01/2020,Monroe,56.0
02/01/2020,Queens,52.5
02/01/2020,Steuben,60.0
02/02/2020,Erie,35.0
02/02/2020,Essex,10.0
02/02/2020,Monroe,47.5
02/02/2020,Queens,42.0
02/02/2020,Steuben,33.0
02/03/2020,Erie,33.0
02/03/2020,Essex,12.0
02/03/2020,Monroe,35.5
02/03/2020,Queens,41.5
02/03/2020,Steuben,22.0
02/04/2020,Albany,51.0
02/04/2020,Erie,31.0
02/04/2020,Essex,8.0
02/04/2020,Monroe,30.0
02/04/2020,Queens,57.5
02/04/2020,Steuben,31.0
02/05/2020,Albany,19.0
02/05/2020,Erie,12.0
02/05/2020,Essex,6.0
02/05/2020,Monroe,11.5
02/05/2020,Queens,23.0
02/05/2020,Steuben,17.0
02/06/2020,Albany,39.0
02/06/2020,Erie,10.0
02/06/2020,Essex,6.0
02/06/2020,Monroe,17.5
02/06/2020,Queens,21.5
02/06/2020,Steuben,20.0
02/07/2020,Albany,22.0
02/07/2020,Erie,25.0
02/07/2020,Essex,9.0
02/07/2020,Monroe,16.5
02/07/2020,Queens,24.0
02/07/2020,Steuben,8.0
02/08/2020,Albany,18.0
02/08/2020,Erie,28.0
02/08/2020,Essex,16.0
02/08/2020,Monroe,24.0
02/08/2020,Queens,28.5
02/08/2020,Steuben,20.0
02/09/2020,Albany,54.0
02/09/2020,Erie,33.0
02/09/2020,Essex,11.0
02/09/2020,Monroe,35.0
02/09/2020,Queens,33.5
02/09/2020,Steuben,34.0
02/10/2020,Albany,47.0
02/10/2020,Erie,35.0
02/10/2020,Essex,9.0
02/10/2020,Monroe,36.5
02/10/2020,Queens,32.0
02/10/2020,Steuben,20.0
02/11/2020,Albany,61.0
02/11/2020,Erie,40.0
02/11/2020,Essex,11.0
02/11/2020,Monroe,45.5
02/11/2020,Queens,29.5
02/11/2020,Steuben,32.0
02/12/2020,Albany,34.0
02/12/2020,Erie,33.0
02/12/2020,Essex,12.0
02/12/2020,Monroe,37.5
02/12/2020,Queens,32.5
02/12/2020,Steuben,39.0
02/13/2020,Albany,44.0
02/13/2020,Erie,33.0
02/13/2020,Essex,14.0
02/13/2020,Monroe,33.0
02/13/2020,Queens,26.5
02/13/2020,Steuben,18.0
02/14/2020,Albany,17.0
02/14/2020,Erie,37.0
02/14/2020,Essex,16.0
02/14/2020,Monroe,31.0
02/14/2020,Queens,22.0
02/14/2020,Steuben,22.0
02/15/2020,Albany,22.0
02/15/2020,Erie,25.0
02/15/2020,Essex,3.0
02/15/2020,Monroe,27.5
02/15/2020,Queens,21.5
02/15/2020,Steuben,31.0
02/16/2020,Albany,43.0
02/16/2020,Erie,33.0
02/16/2020,Essex,20.0
02/16/2020,Monroe,41.0
02/16/2020,Queens,36.5
02/16/2020,Steuben,34.0
02/17/2020,Albany,46.0
02/17/2020,Erie,28.0
02/17/2020,Essex,17.0
02/17/2020,Monroe,25.0
02/17/2020,Queens,45.5
02/17/2020,Steuben,48.0
02/18/2020,Albany,35.0
02/18/2020,Erie,29.0
02/18/2020,Essex,8.0
02/18/2020,Monroe,34.5
02/18/2020,Queens,35.5
02/18/2020,Steuben,46.0
02/19/2020,Albany,16.0
02/19/2020,Erie,24.0
02/19/2020,Essex,12.0
02/19/2020,Monroe,19.5
02/19/2020,Queens,29.0
02/19/2020,Steuben,20.0
02/20/2020,Albany,14.0
02/20/2020,Erie,25.0
02/20/2020,Essex,10.0
02/20/2020,Monroe,20.0
02/20/2020,Queens,19.0
02/20/2020,Steuben,19.0
02/21/2020,Albany,23.0
02/21/2020,Erie,20.0
02/21/2020,Essex,6.0
02/21/2020,Monroe,30.5
02/21/2020,Queens,18.5
02/21/2020,Steuben,22.0
02/22/2020,Albany,51.0
02/22/2020,Erie,28.0
02/22/2020,Essex,28.0
02/22/2020,Monroe,34.0
02/22/2020,Queens,34.5
02/22/2020,Steuben,36.0
02/23/2020,Albany,61.0
02/23/2020,Erie,36.0
02/23/2020,Essex,23.0
02/23/2020,Monroe,42.0
02/23/2020,Queens,46.5
02/23/2020,Steuben,35.0
02/24/2020,Albany,55.0
02/24/2020,Erie,53.0
02/24/2020,Essex,23.0
02/24/2020,Monroe,53.5
02/24/2020,Queens,53.5
02/24/2020,Steuben,30.0
02/25/2020,Albany,68.0
02/25/2020,Erie,40.0
02/25/2020,Essex,35.0
02/25/2020,Monroe,48.5
