date,county,cases,deaths
3/19/2020,Allegany,2,0
3/19/2020,Broome,2,0
3/19/2020,Chenango,1,0
3/19/2020,Clinton,1,0
3/19/2020,Delaware,1,0
3/19/2020,Dutchess,31,0
3/19/2020,Erie,28,0
3/19/2020,Essex,1,0
3/19/2020,Greene,2,0
3/19/2020,Hamilton,1,0
3/19/2020,Herkimer,1,0
3/19/2020,Jefferson,1,0
3/19/2020,Livingston,1,0
3/19/2020,Monroe,28,0
3/19/2020,Montgomery,1,0
3/19/2020,Nassau,382,3
3/19/2020,New York,2468,22
3/19/2020,Onondaga,2,0
3/19/2020,Ontario,1,0
3/19/2020,Orange,51,0
3/19/2020,Putnam,2,0
3/19/2020,Rensselaer,4,0
3/19/2020,Rockland,53,2
3/19/2020,Saratoga,14,0
3/19/2020,Schenectady,21,0
3/19/2020,Schoharie,1,0
3/19/2020,Suffolk,178,3
3/19/2020,Sullivan,8,0
3/19/2020,Tioga,1,0
3/19/2020,Tompkins,7,0
3/19/2020,Ulster,12,0
3/19/2020,Warren,1,0
3/19/2020,Washington,1,0
3/19/2020,Wayne,1,0
3/19/2020,Westchester,797,0
3/19/2020,Wyoming,2,0
3/20/2020,Albany,61,0
3/20/2020,Allegany,2,0
3/20/2020,Broome,2,0
3/20/2020,Chenango,2,0
3/20/2020,Clinton,2,0
3/20/2020,Columbia,1,0
3/20/2020,Delaware,1,0
3/20/2020,Dutchess,36,0
3/20/2020,Erie,31,0
3/20/2020,Essex,1,0
3/20/2020,Fulton,1,0
3/20/2020,Genesee,1,0
3/20/2020,Greene,2,0
3/20/2020,Hamilton,2,0
3/20/2020,Herkimer,2,0
3/20/2020,Jefferson,1,0
3/20/2020,Livingston,1,0
3/20/2020,Monroe,32,0
3/20/2020,Montgomery,2,0
3/20/2020,Nassau,754,4
3/20/2020,New York,4408,43
3/20/2020,Niagara,3,0
3/20/2020,Oneida,2,0
3/20/2020,Onondaga,8,0
3/20/2020,Ontario,3,0
3/20/2020,Orange,84,0
3/20/2020,Putnam,7,0
3/20/2020,Rensselaer,8,0
3/20/2020,Rockland,101,3
3/20/2020,Saratoga,24,0
3/20/2020,Schenectady,21,0
3/20/2020,Schoharie,1,0
3/20/2020,Suffolk,371,7
3/20/2020,Sullivan,8,0
3/20/2020,Tioga,1,0
3/20/2020,Tompkins,7,0
3/20/2020,Ulster,12,0
3/20/2020,Warren,1,0
3/20/2020,Washington,1,0
3/20/2020,Wayne,1,0
3/20/2020,Westchester,1091,0
3/20/2020,Wyoming,2,0
3/21/2020,Albany,88,0
3/21/2020,Allegany,2,0
3/21/2020,Broome,2,1
3/21/2020,Chenango,2,0
3/21/2020,Clinton,4,0
3/21/2020,Columbia,2,0
3/21/2020,Delaware,1,0
3/21/2020,Dutchess,49,0
3/21/2020,Erie,38,0
3/21/2020,Essex,2,0
3/21/2020,Fulton,1,0
3/21/2020,Genesee,1,0
3/21/2020,Greene,2,0
3/21/2020,Hamilton,2,0
3/21/2020,Herkimer,3,0
3/21/2020,Jefferson,1,0
3/21/2020,Livingston,2,0
3/21/2020,Monroe,42,0
3/21/2020,Montgomery,3,0
3/21/2020,Nassau,1234,7
3/21/2020,New York,6211,60
3/21/2020,Niagara,4,0
3/21/2020,Oneida,4,0
3/21/2020,Onondaga,17,0
3/21/2020,Ontario,4,0
3/21/2020,Orange,163,0
3/21/2020,Putnam,22,0
3/21/2020,Rensselaer,20,0
3/21/2020,Rockland,262,3
3/21/2020,Saratoga,35,0
3/21/2020,Schenectady,32,0
3/21/2020,Schoharie,1,0
3/21/2020,Steuben,2,0
3/21/2020,Suffolk,662,9
3/21/2020,Sullivan,12,0
3/21/2020,Tioga,1,0
3/21/2020,Tompkins,11,0
3/21/2020,Ulster,18,0
3/21/2020,Warren,1,0
3/21/2020,Washington,1,0
3/21/2020,Wayne,3,0
3/21/2020,Westchester,1387,0
3/21/2020,Wyoming,2,0
3/22/2020,Albany,123,0
3/22/2020,Allegany,2,0
3/22/2020,Broome,3,1
3/22/2020,Chenango,3,0
3/22/2020,Clinton,4,0
3/22/2020,Columbia,5,0
3/22/2020,Cortland,1,0
